match_id,win,teamId,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baron_diff,baronKills,dragon_diff,dragonKills,riftHeraldKills,kills,deaths,gold_diff_10,gold_10_mins,gold_diff_20,gold_20_mins,gold_diff,goldEarned,gold_spent_percentage_diff,goldSpent,gold_efficiency,totalDamageDealt,totalDamageDealtToChampions,visionScore,totalMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle
3554813042,Loss,Blue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,-1,0,-4,0,0,13,27,-2772,12136,-7593.000000000004,28748.999999999996,-10865,38340,-0.162937291242874,36575,1765,438176,49947,94,496,80,33
3554813042,Win,Red,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,1,1,1,4,4,2,27,13,2772,14908,7593.000000000004,36342,10865,49205,0.162937291242874,43063,6142,529485,57329,118,553,95,20
3599107713,Loss,Blue,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,7,0,1,1,1,3,0,28,29,41,12345,-3269,29764,-3017,59921,0.016291884861553207,58910,1011,651511,101154,203,667,118,16
3599107713,Win,Red,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,8,1,-1,0,-1,2,1,29,29,-41,12304,3269,33033,3017,62938,-0.016291884861553207,57958,4980,717823,95313,205,754,128,17
3649055739,Loss,Blue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,-1,0,-2,1,0,26,43,-1363,14367,-4748,31830,-9814,55497,-0.09742835494941392,53360,2137,679445,96653,145,637,119,27
3649055739,Win,Red,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,1,1,1,2,3,2,43,26,1363,15730,4748,36578,9814,65311,0.09742835494941392,58825,6486,660530,99499,238,614,101,29
3596324404,Loss,Blue,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,-2,0,-3,1,2,13,32,-360,13099,-3790,31525,-12888,48504,-0.21536602479145553,45783,2721,527754,54799,130,687,72,7
3596324404,Win,Red,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,11,3,2,2,3,4,0,32,14,360,13459,3790,35315,12888,61392,0.21536602479145553,56833,4559,697542,86349,181,697,109,42
3634705152,Win,Blue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,1,1,3,4,2,42,32,1421.9999999999982,14321.999999999998,5280,37244,11817,72825,0.08726424844761582,63110,9715,893458,118190,224,773,142,66
3634705152,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,-1,0,-3,1,0,32,42,-1421.9999999999982,12900,-5280,31964,-11817,61008,-0.08726424844761582,57833,3175,688943,89942,163,759,111,7
3655742316,Win,Blue,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,11,6,2,2,3,4,1,20,25,171,14103,3012,33859,5040,72964,0.0774202225028205,69511,3453,1011087,97145,279,824,189,56
3655742316,Loss,Red,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,-2,0,-3,1,1,25,20,-171,13932,-3012,30847,-5040,67924,-0.0774202225028205,64330,3594,1002744,103134,262,965,161,1
3582066698,Loss,Blue,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,-1,0,-1,1,0,15,23,481,14439,1170,36167,-3645,44854,-0.10314831986576589,42958,1896,530673,56619,118,638,121,6
3582066698,Win,Red,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,0,1,1,1,2,1,23,15,-481,13958,-1170,34997,3645,48499,0.10314831986576589,47630,869,503116,54487,128,557,114,13
3646318256,Win,Blue,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,1,0,0,1,2,2,26,10,1092,13573,8065,36886,11072,47918,0.21883474930272612,43158,4760,465579,63494,159,553,90,12
3646318256,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,-1,1,0,10,26,-1092,12481,-8065,28821,-11072,36846,-0.21883474930272612,34645,2201,396160,44498,114,496,111,9
3638974676,Win,Blue,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,8,1,-1,0,5,5,1,46,26,837,15188,3685,37262,7381,65415,0.11452808302267717,59700,5715,678510,115029,131,610,119,27
3638974676,Loss,Red,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,0,1,1,-5,0,0,26,46,-837,14351,-3685,33577,-7381,58034,-0.11452808302267717,53233,4801,628965,85232,182,616,127,17
3586616588,Win,Blue,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,2,1,1,1,2,2,32,27,-1710.0000000000018,13298,2009,38364,6604,60755,0.06868462818134884,54093,6662,678544,85274,152,625,126,41
3586616588,Loss,Red,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,-1,0,-1,1,0,27,32,1710.0000000000018,15008.000000000002,-2009,36355,-6604,54151,-0.06868462818134884,50501,3650,465001,63925,125,572,109,12
3642973177,Loss,Blue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,-3,0,0,13,31,-2486,13010,-7650,29672,-12666,38318,-0.17741734869026593,36633,1685,566630,55566,106,552,81,0
3642973177,Win,Red,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,9,1,0,0,3,3,2,31,13,2486,15496,7650,37322,12666,50984,0.17741734869026593,43765,7219,578441,77540,120,551,86,34
3626363609,Win,Blue,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,9,1,0,1,-1,2,2,52,36,-68,15275,4229,39427,5127,73763,-0.03720758887456253,66600,7163,858593,133364,217,702,127,33
