win,towerKills,baronKills,deaths,gold_spent_percentage_diff
Win,11,1,11,0.137324
Loss,2,0,19,-0.123377
Loss,6,0,14,0.021475
Win,10,3,7,0.2238
Win,11,2,4,0.13628
Win,10,2,9,0.065606
Win,8,1,13,-0.00771
Loss,4,0,14,-0.15525
Loss,1,0,17,-0.091743
Win,9,1,10,0.114379
